Date,Open,High,Low,Close,Adj Close,Volume
2003-05-27,93.330002,95.830002,93.190002,95.470001,70.034737,687400
2003-05-28,95.900002,96.459999,95.519997,95.739998,70.232841,369700
2003-05-29,95.989998,96.739998,95.000000,95.489998,70.049446,784200
2003-05-30,95.989998,97.019997,95.970001,96.989998,71.149780,2277700
2003-06-02,97.610001,98.449997,97.089996,97.400002,71.450592,838500
2003-06-03,97.290001,97.870003,96.949997,97.699997,71.670647,161200
2003-06-04,97.790001,99.360001,97.660004,99.230003,72.792999,178700
2003-06-05,98.680000,99.690002,98.410004,99.690002,73.130455,318500
2003-06-06,100.480003,101.480003,99.230003,99.419998,72.932381,1971600
2003-06-09,98.949997,99.089996,97.820000,98.339996,72.140114,1774900
2003-06-10,98.550003,99.290001,98.260002,99.290001,72.837006,278900
2003-06-11,99.099998,100.379997,98.860001,100.339996,73.607292,2808900
2003-06-12,100.629997,100.849998,99.750000,100.699997,73.871384,225300
2003-06-13,100.730003,100.800003,99.010002,99.580002,73.049751,1177800
2003-06-16,99.680000,101.360001,99.589996,101.360001,74.630585,262000
2003-06-17,101.800003,101.800003,100.919998,101.360001,74.630585,1127000
2003-06-18,101.099998,101.779999,100.669998,101.250000,74.549576,228600
2003-06-19,101.309998,101.349998,99.489998,99.680000,73.393593,402900
2003-06-20,100.339996,100.470001,99.419998,99.419998,73.202179,1176900
2003-06-23,99.449997,99.510002,97.949997,98.459999,72.495338,592800
2003-06-24,98.339996,99.070000,98.220001,98.599998,72.598389,156500
2003-06-25,98.650002,99.419998,97.589996,97.589996,71.854767,506500
2003-06-26,97.709999,98.959999,97.709999,98.790001,72.738304,297900
2003-06-27,98.769997,99.190002,97.699997,97.779999,71.994659,923300
2003-06-30,98.489998,98.699997,97.599998,97.779999,71.994659,291400
2003-07-01,97.339996,98.620003,96.500000,98.620003,72.613144,256400
2003-07-02,98.629997,99.800003,98.629997,99.800003,73.481987,327800
2003-07-03,98.970001,99.849998,98.550003,98.750000,72.708839,240500
2003-07-07,99.809998,100.949997,99.790001,100.750000,74.181450,251700
2003-07-08,100.400002,101.279999,100.209999,101.230003,74.534882,1202600
2003-07-09,101.040001,101.430000,100.120003,100.610001,74.078346,207400
2003-07-10,99.879997,100.059998,98.680000,99.370003,73.165352,167800
2003-07-11,99.580002,100.400002,99.489998,100.260002,73.820656,112700
2003-07-14,101.339996,101.879997,100.050003,100.699997,74.144630,2191700
2003-07-15,101.480003,101.480003,100.059998,100.510002,74.004692,145500
2003-07-16,100.879997,100.879997,99.279999,100.029999,73.651344,222100
2003-07-17,99.279999,99.559998,98.230003,98.599998,72.598389,167900
2003-07-18,99.040001,99.830002,98.559998,99.599998,73.334702,104500
2003-07-21,99.500000,99.500000,97.900002,98.250000,72.340714,112500
2003-07-22,98.639999,99.410004,97.959999,99.220001,73.054932,135500
2003-07-23,99.099998,99.419998,98.370003,99.320000,73.128548,452700
2003-07-24,99.970001,100.339996,98.419998,98.589996,72.591049,124800
2003-07-25,98.680000,100.290001,98.169998,100.260002,73.820656,150200
2003-07-28,100.330002,100.459999,99.699997,99.930000,73.577682,302700
2003-07-29,100.190002,100.290001,98.809998,99.489998,73.253693,117400
2003-07-30,99.620003,99.620003,99.000000,99.169998,73.018120,174100
2003-07-31,99.169998,100.919998,99.169998,99.459999,73.231613,268100
2003-08-01,99.309998,99.309998,98.309998,98.529999,72.546867,139000
2003-08-04,98.400002,98.989998,97.129997,98.599998,72.598389,160700
2003-08-05,98.570000,98.580002,96.449997,96.550003,71.088982,3450100
2003-08-06,96.660004,98.050003,96.500000,97.070000,71.471878,1125900
2003-08-07,97.099998,98.040001,96.830002,98.040001,72.186096,137500
2003-08-08,98.309998,98.510002,97.919998,98.300003,72.377518,310700
2003-08-11,98.300003,99.040001,98.019997,98.739998,72.701462,135500
2003-08-12,98.800003,99.639999,98.489998,99.639999,73.364136,215600
2003-08-13,99.820000,99.839996,98.610001,99.120003,72.981277,243400
2003-08-14,99.199997,99.739998,98.559998,99.489998,73.253693,191100
2003-08-15,99.500000,99.800003,99.250000,99.550003,73.297890,51300
2003-08-18,100.029999,100.599998,99.820000,100.480003,73.982620,332000
2003-08-19,100.610001,100.879997,99.980003,100.830002,74.240349,162900
2003-08-20,100.230003,100.940002,100.230003,100.510002,74.004692,125300
2003-08-21,100.980003,101.550003,100.540001,100.839996,74.247704,106100
2003-08-22,101.709999,101.750000,99.800003,99.889999,73.548203,133400
